Variable,Type,Min,Max,Unit,Name
GVL_HMI.Recipes_StWeighFill.Param.Density,REAL,0,-,g/cm3,Density [g/cm3]
GVL_HMI.Recipes_FlexPTS.Timer.rT2_rTimerSuction,REAL,0,-,s,T2-Suction time [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT5_rDelayAtmPressure,REAL,0,-,s,T5-Atmosphere time [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT6_rDelaySetEjectingPressure1,REAL,0,-,s,T6-Delay opening pressure valve [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT7_rDelayOpenOutletValve,REAL,0,-,s,T7-Delay opening outlet valve [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT8_rTimerEjection1,REAL,0,-,s,T8-High pressure time [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT9_rTimerEjection2,REAL,0,-,s,T9-Low pressure time [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT10_rDelayCloseOutletValve,REAL,0,-,s,T10-Delay closing outlet valve [s]
GVL_HMI.Recipes_FlexPTS.Timer.rT11_WaitingTime,REAL,0,-,s,T11-Waiting [s]
GVL_HMI.Recipes_FlexPTS.Param.rEjectingPressure1,REAL,0,-,bars,P1-High Pressure [bars]
GVL_HMI.Recipes_FlexPTS.Param.rEjectingPressure2,REAL,0,-,bars,P2-Low Pressure [bars]
GVL_HMI.Recipes_FlexPTS.Param.rOutletClosePressure,REAL,0,-,bars,P4-Outlet valve closing Pressure [bars]
GVL_HMI.Recipes_FlexPTS.Param.rVacuumPressure1,REAL,-,-,bars,V1-Vacuum [bars]
GVL_HMI.Recipes_FlexPTS.Timer.rTc,REAL,0,-,s,Chamber Pre-Cleaning Time [s]
GVL_HMI.Recipes_FlexPTS.Param.ChPreCleaningPressure,REAL,0,-,bars,Chamber Pre-Cleaning Pressure [bars]
GVL_HMI.Recipes_StWeighFill.Param.ChamberDiameter,REAL,0,-,mm,Chamber diameter [mm]
GVL_HMI.Recipes_StWeighFill.Param.ChamberHeightMax,REAL,0,-,mm,Chamber max height [mm]
GVL_HMI.Recipes_StWeighFill.Param.DeadVolume,REAL,0,-,cm3,FlexPTS dead volume [cm3]
GVL_HMI.Recipes_StWeighFill.Param.ChamberHeightTol,REAL,0,-,mm,Difference in distance to height setpoint [+-mm]
GVL_HMI.BatchName,String,0,1,-,Batch name
